	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
Sec,Throughput,Graph Vertices,Graph Edges
0,365298,1000001,0
1,327764,1017357,0
2,317729,1063157,0
3,321018,1079599,0
4,325761,1082519,0
5,255773,1132825,0
6,280851,1160409,0
7,281307,1160409,0
8,296862,1201166,0
9,293840,1248720,0
10,297909,1256239,0
11,212572,1261514,0
12,308129,1315198,0
13,297516,1354423,0
14,304224,1354423,0
15,296574,1375394,0
16,291619,1430706,0
17,274902,1455072,0
18,283065,1455072,0
19,296379,1455072,0
20,289612,1455072,0
21,293345,1498629,0
22,294473,1548676,0
23,296305,1569494,0
24,276884,1569494,0
25,321077,1590011,0
26,301846,1643771,0
27,293842,1689012,0
28,294186,1693516,0
29,298103,1693516,0
30,287481,1730583,0
31,239619,1775937,0
32,283406,1807703,0
33,302412,1807703,0
34,306112,1807703,0
35,300372,1830317,0
36,290279,1882895,0
37,290098,1929943,0
38,294703,1952738,0
39,295945,1952738,0
40,294618,1952738,0
41,274199,1976633,0
42,251178,2027890,0
43,306899,2069796,0
44,304821,2069796,0
45,310876,2069796,0
46,303403,2071228,0
47,292806,2121172,0
48,288957,2165161,0
49,290953,2200152,0
50,271368,2200152,0
51,306931,2200152,0
52,309687,2208431,0
53,304905,2263821,0
54,300760,2316498,0
55,300386,2361494,0
56,301022,2372371,0
57,300781,2372371,0
58,285472,2372371,0
59,316794,2390674,0
60,298896,2444673,0
61,293136,2491256,0
62,300811,2532138,0
63,300974,2545834,0
64,298910,2545834,0
65,296323,2545834,0
66,297253,2545834,0
67,291211,2594074,0
68,223754,2646266,0
69,324659,2693172,0
70,314826,2726348,0
71,316783,2726348,0
72,312408,2726348,0
73,308655,2726348,0
74,299257,2766099,0
75,292285,2819047,0
76,285415,2868796,0
77,290772,2909104,0
78,226368,2924288,0
79,345317,2924288,0
80,319498,2924288,0
81,311986,2926071,0
82,301842,2956577,0
83,299817,3006483,0
84,295968,3053392,0
85,297849,3097025,0
86,300607,3101190,0
87,300059,3101190,0
88,226626,3101190,0
89,299385,3101190,0
90,299409,3135786,0
91,312984,3190596,0
92,309562,3243272,0
93,297041,3287137,0
94,301224,3328677,0
95,300376,3342538,0
96,310602,3342538,0
97,308413,3342538,0
98,307150,3342538,0
99,289086,3369172,0
100,287842,3433031,0
101,327980,3500974,0
102,332640,3500974,0
103,327696,3500974,0
104,326526,3500974,0
105,324322,3500974,0
106,321783,3500974,0
107,318713,3500974,0
108,312682,3500974,0
109,313672,3500974,0
110,313826,3500974,0
111,306219,3500974,0
112,332444,3500974,0
113,343993,3500974,0
114,337275,3500974,0
115,330604,3500974,0
116,325992,3500974,0
117,323411,3500974,0
118,320860,3500974,0
119,318873,3500974,0
120,316532,3500974,0
121,311998,3500974,0
122,309108,3500974,0
123,277872,3500974,0
124,322807,3500974,0
125,334777,3500974,0
126,336403,3500974,0
127,332162,3500974,0
128,327531,3500974,0
129,324044,3500974,0
130,320176,3500974,0
131,318187,3500974,0
132,316753,3500974,0
133,315077,3500974,0
134,314022,3500974,0
135,290476,3500974,0
136,356929,3500974,0
137,341128,3500974,0
138,339344,3500974,0
139,333380,3500974,0
140,328305,3500974,0
141,324918,3500974,0
142,321693,3500974,0
143,319918,3500974,0
144,317880,3500974,0
145,316312,3500974,0
146,314706,3500974,0
147,240813,3500974,0
148,327439,3500974,0
149,335819,3500974,0
150,331628,3500974,0
151,332865,3500974,0
152,327914,3500974,0
153,324087,3500974,0
154,317512,3500974,0
155,315057,3500974,0
156,316827,3500974,0
157,315932,3500974,0
158,314682,3500974,0
159,313972,3500974,0
160,312116,3500974,0
161,311016,3500974,0
162,228116,3500974,0
163,293235,3500974,0
164,7674,3500974,0
