	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
Sec,Throughput,Graph Vertices,Graph Edges
0,335939,5780,0
1,384431,5846,0
2,346112,5835,0
3,384704,5811,0
4,452359,5786,0
5,496670,5855,0
6,503993,5907,0
7,498043,5806,0
8,494011,5832,0
9,500278,5942,0
10,507674,5784,0
11,505124,5860,0
12,517689,5941,0
13,526492,5865,0
14,521357,5901,0
15,526973,5936,0
16,528823,5947,0
17,526665,6016,0
18,525544,5871,0
19,526665,5965,0
20,533547,5916,0
21,522877,5958,0
22,520875,6026,0
23,532475,6010,0
24,534463,5909,0
25,536195,5943,0
26,534047,5979,0
27,537893,5966,0
28,540814,6067,0
29,543526,6040,0
30,548858,5991,0
31,541460,6048,0
32,540959,6090,0
33,540831,6130,0
34,543032,6054,0
35,546103,5989,0
36,549553,6058,0
37,547989,6058,0
38,548363,6083,0
39,551446,6052,0
40,551678,6074,0
41,563277,6071,0
42,560867,6042,0
43,557350,6073,0
44,556065,6100,0
45,545613,6058,0
46,545969,6128,0
47,548690,6118,0
48,552163,6055,0
49,540965,6069,0
50,553060,6097,0
51,556820,6189,0
52,554045,6118,0
53,557416,6133,0
54,557188,6128,0
55,558075,6115,0
56,574417,6151,0
57,573961,6194,0
58,569572,6196,0
59,547400,6103,0
60,558645,6159,0
61,554980,6097,0
62,552883,6172,0
63,554458,6148,0
64,560634,6239,0
65,554409,6245,0
66,553789,6248,0
67,562187,6199,0
68,562408,6166,0
69,561056,6150,0
70,562258,6167,0
71,559400,6131,0
72,572588,6236,0
73,539563,6282,0
74,559400,6229,0
75,574172,6138,0
76,572110,6205,0
77,575059,6237,0
78,585284,6327,0
79,593355,6246,0
80,586228,6287,0
81,550198,6257,0
82,571225,6232,0
83,598396,6363,0
84,601554,6322,0
85,597807,6213,0
86,598354,6296,0
87,598638,6294,0
88,621452,6329,0
89,608993,6390,0
90,605449,6379,0
91,605106,6390,0
92,58519,6455,0
