Sec,Throughput,Graph Vertices,Graph Edges
0,224783,1020722,0
1,246242,1036722,0
2,259790,1057001,0
3,266954,1076417,0
4,272229,1095667,0
5,273226,1115039,0
6,280164,1134805,0
7,278356,1154381,0
8,280665,1174542,0
9,280070,1194348,0
10,280355,1213484,0
11,280997,1233179,0
12,278902,1253564,0
13,280318,1273718,0
14,280960,1293704,0
15,278483,1312458,0
16,278881,1332323,0
17,280673,1352120,0
18,280569,1371918,0
19,279888,1391836,0
20,278246,1412120,0
21,279364,1432586,0
22,279875,1447154,0
23,278311,1450572,0
24,276806,1450572,0
25,277270,1450572,0
26,271463,1450572,0
27,263299,1463096,0
28,263111,1515856,0
29,268487,1570227,0
30,273692,1624293,0
31,275877,1673944,0
32,270422,1715226,0
33,275536,1736180,0
34,281104,1756800,0
35,281212,1777665,0
36,281353,1798511,0
37,281465,1819276,0
38,277882,1839631,0
39,277051,1859652,0
40,281157,1880554,0
41,278378,1900975,0
42,281687,1921510,0
43,279784,1941414,0
44,272589,1950368,0
45,207819,1950368,0
46,164712,1950368,0
47,136419,1974425,0
48,306235,2026176,0
49,298627,2078152,0
50,314413,2112831,0
51,310508,2133841,0
52,306566,2154908,0
53,304207,2175835,0
54,302089,2197168,0
55,300407,2218311,0
56,299316,2239925,0
57,296935,2261530,0
58,292867,2281973,0
59,293739,2302837,0
60,294389,2323542,0
61,293486,2344237,0
62,293400,2364777,0
63,293145,2385330,0
64,292186,2405919,0
65,292223,2426593,0
66,292032,2447144,0
67,289164,2451495,0
68,285246,2451495,0
69,286259,2451495,0
70,283655,2472948,0
71,271754,2520761,0
72,275495,2565798,0
73,281036,2612619,0
74,286399,2644868,0
75,287271,2666087,0
76,287526,2687234,0
77,287724,2708231,0
78,155569,2730195,0
79,310641,2750943,0
80,292026,2771094,0
81,299959,2791019,0
82,301515,2810320,0
83,301028,2830184,0
84,297543,2850013,0
85,294827,2870219,0
86,293528,2890911,0
87,294647,2911605,0
88,292979,2932239,0
89,292427,2950700,0
90,291592,2950700,0
91,291479,2950700,0
92,290683,2950700,0
93,290398,2950700,0
94,287894,2950700,0
95,286672,2950700,0
96,286231,2965254,0
97,272479,3014278,0
98,283330,3061709,0
99,283724,3113549,0
100,283705,3164983,0
101,285478,3216249,0
102,286925,3268425,0
103,286685,3311550,0
104,286655,3332851,0
105,286227,3354398,0
106,284845,3376402,0
107,286527,3397304,0
108,286515,3418225,0
109,283565,3438662,0
110,280339,3450743,0
111,283150,3450743,0
112,287671,3450743,0
113,288495,3450743,0
114,287809,3450743,0
115,260558,3500974,0
116,296709,3500974,0
117,307872,3500974,0
118,314406,3500974,0
119,310677,3500974,0
120,304557,3500974,0
121,293174,3500974,0
122,304070,3500974,0
123,306995,3500974,0
124,305597,3500974,0
125,306027,3500974,0
126,306448,3500974,0
127,305739,3500974,0
128,304812,3500974,0
129,303987,3500974,0
130,303003,3500974,0
131,301743,3500974,0
132,300769,3500974,0
133,300329,3500974,0
134,301241,3500974,0
135,301598,3500974,0
136,301088,3500974,0
137,300861,3500974,0
138,300429,3500974,0
139,300103,3500974,0
140,299510,3500974,0
141,299320,3500974,0
142,299296,3500974,0
143,298835,3500974,0
144,298404,3500974,0
145,297330,3500974,0
146,295358,3500974,0
147,293161,3500974,0
148,292093,3500974,0
149,294497,3500974,0
150,293072,3500974,0
151,293937,3500974,0
152,295128,3500974,0
153,295597,3500974,0
154,296005,3500974,0
155,296333,3500974,0
156,259262,3500974,0
157,286887,3500974,0
158,320890,3500974,0
159,313200,3500974,0
160,321691,3500974,0
161,324818,3500974,0
162,321860,3500974,0
163,319485,3500974,0
164,317235,3500974,0
165,315729,3500974,0
166,314265,3500974,0
167,312977,3500974,0
168,311856,3500974,0
169,309330,3500974,0
170,307609,3500974,0
171,307813,3500974,0
172,307616,3500974,0
173,193836,3500974,0
174,2036,3500974,0
