Sec,Throughput,Graph Vertices,Graph Edges
0,100000,1004889,0
1,0,1004889,0
2,96208,1009897,0
3,3792,1009897,0
4,0,1009897,0
5,100000,1014864,0
6,0,1014864,0
7,100000,1019801,0
8,0,1019801,0
9,31289,1022440,0
10,68711,1024774,0
11,0,1024774,0
12,100000,1029903,0
13,0,1029903,0
14,85730,1034813,0
15,14270,1034813,0
16,0,1034813,0
17,100000,1039925,0
18,0,1039925,0
19,96214,1044973,0
20,3786,1044973,0
21,63711,1049891,0
22,36289,1049891,0
23,0,1049891,0
24,100000,1054886,0
25,0,1054886,0
26,93506,1059991,0
27,6494,1059991,0
28,60457,1064865,0
29,39543,1064978,0
30,0,1064978,0
31,100000,1069976,0
32,0,1069976,0
33,100000,1075036,0
34,0,1075036,0
35,0,1075036,0
36,100000,1079972,0
37,0,1079972,0
38,93843,1084867,0
39,6157,1084867,0
40,0,1084867,0
41,100000,1089888,0
42,0,1089888,0
43,100000,1094796,0
44,0,1094796,0
45,22900,1097601,0
46,77100,1099885,0
47,0,1099885,0
48,99599,1104922,0
49,401,1104922,0
50,38552,1108533,0
51,61448,1109857,0
52,0,1109857,0
53,100000,1114838,0
54,0,1114838,0
55,52352,1119386,0
56,47648,1119876,0
57,0,1119876,0
58,100000,1124944,0
59,0,1124944,0
60,51334,1129394,0
61,48666,1129994,0
62,0,1129994,0
63,100000,1135013,0
64,0,1135013,0
65,62703,1139962,0
66,37297,1139962,0
67,0,1139962,0
68,98424,1144922,0
69,1576,1144922,0
70,50708,1149133,0
71,49292,1149834,0
72,0,1149834,0
73,95106,1154868,0
74,4894,1154868,0
75,38305,1158721,0
76,61695,1159828,0
77,0,1159828,0
78,100000,1164871,0
79,0,1164871,0
80,7000,1165571,0
81,93000,1169914,0
82,0,1169914,0
83,95861,1175062,0
84,4139,1175062,0
85,0,1175062,0
86,99072,1180039,0
87,928,1180039,0
88,0,1180039,0
89,100000,1185039,0
90,0,1185039,0
91,73274,1190153,0
92,26726,1190153,0
93,0,1190153,0
94,99948,1195103,0
95,52,1195103,0
96,0,1195103,0
97,100000,1200206,0
98,0,1200206,0
99,46150,1204141,0
100,53850,1205219,0
101,0,1205219,0
102,100000,1210183,0
103,0,1210183,0
104,0,1210183,0
105,100000,1215177,0
106,0,1215177,0
107,3664,1215541,0
108,96336,1220169,0
109,0,1220169,0
110,83212,1225159,0
111,16788,1225159,0
112,0,1225159,0
113,91874,1230115,0
114,8126,1230115,0
115,0,1230115,0
116,100000,1235064,0
117,0,1235064,0
118,62264,1240119,0
119,37736,1240119,0
120,0,1240119,0
121,100000,1245236,0
122,0,1245236,0
123,0,1245236,0
124,100000,1250307,0
125,0,1250307,0
126,44699,1254245,0
127,55301,1255385,0
128,0,1255385,0
129,93205,1260494,0
130,6795,1260494,0
131,0,1260494,0
132,94346,1265499,0
133,5654,1265499,0
134,0,1265499,0
135,100000,1270562,0
136,0,1270562,0
137,0,1270562,0
138,100000,1275649,0
139,0,1275649,0
140,0,1275649,0
141,100000,1280723,0
142,0,1280723,0
143,25364,1282689,0
144,74636,1285694,0
145,0,1285694,0
146,58966,1290309,0
147,41034,1290542,0
148,0,1290542,0
149,100000,1295584,0
150,0,1295584,0
151,0,1295584,0
152,97274,1300584,0
153,2726,1300584,0
154,0,1300584,0
155,100000,1305590,0
156,0,1305590,0
157,0,1305590,0
158,100000,1310556,0
159,0,1310556,0
160,0,1310556,0
161,100000,1315444,0
162,0,1315444,0
163,27996,1318007,0
164,72004,1320481,0
165,0,1320481,0
166,57959,1325434,0
167,42041,1325434,0
168,0,1325434,0
169,100000,1330473,0
170,0,1330473,0
171,0,1330473,0
172,100000,1335402,0
173,0,1335402,0
174,0,1335402,0
175,100000,1340367,0
176,0,1340367,0
177,0,1340367,0
178,100000,1345441,0
179,0,1345441,0
180,0,1345441,0
181,100000,1350341,0
182,0,1350341,0
183,11977,1351391,0
184,88023,1355209,0
185,0,1355209,0
186,36054,1358181,0
187,63946,1360337,0
188,0,1360337,0
189,54405,1365253,0
190,45595,1365352,0
191,0,1365352,0
192,87619,1370333,0
193,12381,1370333,0
194,0,1370333,0
195,96083,1375360,0
196,3917,1375360,0
197,0,1375360,0
198,100000,1380384,0
199,0,1380384,0
200,0,1380384,0
201,93878,1385398,0
202,6122,1385398,0
203,0,1385398,0
204,100000,1390392,0
205,0,1390392,0
206,0,1390392,0
207,100000,1395367,0
208,0,1395367,0
209,0,1395367,0
210,100000,1400290,0
211,0,1400290,0
212,0,1400290,0
213,100000,1405348,0
214,0,1405348,0
215,5553,1405871,0
216,94447,1410381,0
217,0,1410381,0
218,22156,1412718,0
219,77844,1415585,0
220,0,1415585,0
221,35936,1418763,0
222,64064,1420697,0
223,0,1420697,0
224,36977,1424084,0
225,63023,1425710,0
226,0,1425710,0
227,51166,1430448,0
228,48834,1430707,0
229,0,1430707,0
230,63667,1435573,0
231,36333,1435573,0
232,0,1435573,0
233,87594,1440603,0
234,12406,1440603,0
235,0,1440603,0
236,94482,1445596,0
237,5518,1445596,0
238,0,1445596,0
239,100000,1449055,0
240,0,1450572,0
241,0,1450572,0
242,0,1450572,0
243,0,1450572,0
244,8037,1451313,0
245,91963,1455690,0
246,0,1455690,0
247,0,1455690,0
248,0,1455690,0
249,96647,1460738,0
250,3353,1460738,0
251,0,1460738,0
252,0,1460738,0
253,99086,1465702,0
254,914,1465702,0
255,0,1465702,0
256,0,1465702,0
257,54572,1470739,0
258,45428,1470739,0
259,0,1470739,0
260,0,1470739,0
261,100000,1475814,0
262,0,1475814,0
263,0,1475814,0
264,0,1475814,0
265,100000,1480783,0
266,0,1480783,0
267,0,1480783,0
268,100000,1485833,0
269,0,1485833,0
270,0,1485833,0
271,0,1485833,0
272,100000,1490739,0
273,0,1490739,0
274,0,1490739,0
275,91604,1495651,0
276,8396,1495651,0
277,0,1495651,0
278,34228,1498928,0
279,65772,1500781,0
280,0,1500781,0
281,0,1500781,0
282,100000,1505872,0
283,0,1505872,0
284,0,1505872,0
285,97093,1510841,0
286,2907,1510841,0
287,0,1510841,0
288,0,1510841,0
289,100000,1515847,0
290,0,1515847,0
291,0,1515847,0
292,93687,1520874,0
293,6313,1520874,0
294,0,1520874,0
295,66582,1525892,0
296,33418,1525892,0
297,0,1525892,0
298,0,1525892,0
299,100000,1530849,0
300,0,1530849,0
301,0,1530849,0
302,100000,1535870,0
303,0,1535870,0
304,0,1535870,0
305,496,1535933,0
306,99504,1540762,0
307,0,1540762,0
308,0,1540762,0
309,100000,1545824,0
310,0,1545824,0
311,0,1545824,0
312,42027,1549576,0
313,57973,1550833,0
314,0,1550833,0
315,0,1550833,0
316,100000,1555923,0
317,0,1555923,0
318,0,1555923,0
319,65497,1560951,0
320,34503,1560951,0
321,0,1560951,0
322,0,1560951,0
323,100000,1565821,0
324,0,1565821,0
325,0,1565821,0
326,64117,1570727,0
327,35883,1570727,0
328,0,1570727,0
329,0,1570727,0
330,100000,1575805,0
331,0,1575805,0
332,0,1575805,0
333,85004,1580854,0
334,14996,1580854,0
335,0,1580854,0
336,0,1580854,0
337,100000,1585811,0
338,0,1585811,0
339,0,1585811,0
340,16936,1587398,0
341,83064,1590836,0
342,0,1590836,0
343,0,1590836,0
344,99914,1595817,0
345,86,1595817,0
346,0,1595817,0
347,0,1595817,0
348,100000,1600770,0
349,0,1600770,0
350,0,1600770,0
351,94350,1605659,0
352,5650,1605659,0
353,0,1605659,0
354,0,1605659,0
355,98811,1610742,0
356,1189,1610742,0
357,0,1610742,0
358,25151,1613260,0
359,74849,1615803,0
360,0,1615803,0
361,0,1615803,0
362,100000,1620774,0
363,0,1620774,0
364,0,1620774,0
365,0,1620774,0
366,100000,1625731,0
367,0,1625731,0
368,0,1625731,0
369,4138,1626123,0
370,95862,1630745,0
371,0,1630745,0
372,0,1630745,0
373,52471,1635565,0
374,47529,1635760,0
375,0,1635760,0
376,0,1635760,0
377,90319,1640824,0
378,9681,1640824,0
379,0,1640824,0
380,0,1640824,0
381,100000,1645750,0
382,0,1645750,0
383,0,1645750,0
384,70954,1650848,0
385,29046,1650848,0
386,0,1650848,0
387,0,1650848,0
388,95675,1655918,0
389,4325,1655918,0
390,0,1655918,0
391,0,1655918,0
392,100000,1660926,0
393,0,1660926,0
394,0,1660926,0
395,0,1660926,0
396,100000,1665896,0
397,0,1665896,0
398,0,1665896,0
399,34584,1669158,0
400,65416,1670875,0
401,0,1670875,0
402,0,1670875,0
403,68348,1675958,0
404,31652,1675958,0
405,0,1675958,0
406,0,1675958,0
407,82704,1680941,0
408,17296,1680941,0
409,0,1680941,0
410,0,1680941,0
411,94994,1685958,0
412,5006,1685958,0
413,0,1685958,0
414,0,1685958,0
415,98530,1691059,0
416,1470,1691059,0
417,0,1691059,0
418,0,1691059,0
419,93419,1696061,0
420,6581,1696061,0
421,0,1696061,0
422,0,1696061,0
423,97398,1701118,0
424,2602,1701118,0
425,0,1701118,0
426,0,1701118,0
427,100000,1706093,0
428,0,1706093,0
429,0,1706093,0
430,0,1706093,0
431,100000,1711010,0
432,0,1711010,0
433,0,1711010,0
434,19481,1713122,0
435,80519,1716087,0
436,0,1716087,0
437,0,1716087,0
438,54148,1721096,0
439,45852,1721297,0
440,0,1721297,0
441,0,1721297,0
442,80037,1726275,0
443,19963,1726275,0
444,0,1726275,0
445,0,1726275,0
446,97977,1731202,0
447,2023,1731202,0
448,0,1731202,0
449,0,1731202,0
450,93259,1736291,0
451,6741,1736291,0
452,0,1736291,0
453,0,1736291,0
454,100000,1741330,0
455,0,1741330,0
456,0,1741330,0
457,0,1741330,0
458,97799,1746247,0
459,2201,1746247,0
460,0,1746247,0
461,0,1746247,0
462,82117,1751221,0
463,17883,1751221,0
464,0,1751221,0
465,0,1751221,0
466,0,1751221,0
467,100000,1756062,0
