Scheduling End,96028432861
Makespan,165019635166
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
-70.9732,-70.9732,-70.973,1.2187e-05
1.60783,1.76437,2.6045,1.60776
4.9389,4.99421,5.88551,1.56455
8.18806,8.41469,9.41036,1.55107
11.9155,12.1259,13.084,1.75015
15.6121,15.879,16.8856,1.75656
21.1051,21.3797,22.4572,3.38058
25.6186,25.8553,27.0818,2.18081
30.2256,30.4881,31.6399,2.11468
35.5894,35.8647,37.3122,2.8374
41.5476,41.6777,42.8644,3.0639
46.9744,47.2274,48.6499,3.0313
52.8572,53.1917,54.967,3.00058
59.685,60.074,61.9946,3.42757
67.1132,67.5614,69.3946,3.76186
74.3134,74.7559,76.9719,3.5473
81.9677,82.3979,84.5785,3.56512
90.3954,90.9023,93.5273,4.29013
99.6185,99.8509,102.541,4.31048

