Scheduling End,78162327053
Makespan,93010913364
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
-70.7232,-70.7231,-70.7229,1.2467e-05
0.0141537,0.193037,0.196962,0.0140867
0.215522,0.21671,0.218733,0.0129049
0.23444,0.23552,0.237335,0.0115427
0.251004,0.251849,0.253764,0.0100341
0.26739,0.268211,0.270343,0.00957629
0.284354,0.285395,0.287689,0.00965525
0.302204,0.3032,0.305737,0.00958383
0.320528,0.321687,0.324334,0.00958975
0.339434,0.340539,0.343397,0.00962681
0.358869,0.360023,0.363031,0.00969265
0.378761,0.380009,0.383199,0.0095904
0.399348,0.400635,0.404061,0.00963956
0.420682,0.421981,0.425405,0.00963052
0.441893,0.443214,0.446874,0.00959073
0.463897,0.465235,0.468898,0.00961155
0.485998,0.487335,0.49135,0.0096795
0.509099,0.510458,0.514474,0.00963093
0.532244,0.533656,0.537688,0.00971451
0.555674,0.557072,0.561029,0.00972666
0.578601,0.579993,0.584618,0.0095475
0.600331,0.601458,0.604436,0.00957945
0.620135,0.621232,0.624231,0.00959695
0.640046,0.641416,0.645402,0.00964944
0.662952,0.664287,0.667514,0.00954069
0.68322,0.684596,0.688564,0.00958956
0.706342,0.7077,0.711729,0.00971344
0.729476,0.730833,0.734799,0.00965736
0.752474,0.753871,0.757869,0.00961387
0.775517,0.776931,0.780892,0.00960128
0.798673,0.800051,0.80408,0.00977107
0.821857,0.823284,0.827272,0.00965497
0.844896,0.846274,0.850261,0.00960539
0.868025,0.869406,0.873372,0.00971984
0.891,0.89239,0.89633,0.00958173
0.913919,0.915272,0.919218,0.00959655
0.936831,0.93815,0.942119,0.00960533
0.959737,0.961794,0.966557,0.00956773
0.984174,0.985576,0.989517,0.00961077
1.00713,1.0085,1.01247,0.00960181
1.03021,1.03157,1.03558,0.00971193
1.05342,1.05483,1.05888,0.00972306
1.07671,1.07806,1.08206,0.00972414
1.10029,1.10173,1.10568,0.00958354
1.12333,1.12475,1.1287,0.00960867
1.14651,1.14788,1.15191,0.0097635
1.16987,1.17127,1.17529,0.00979559
1.19311,1.19451,1.19848,0.00965772
1.21612,1.21753,1.22147,0.00956569
1.2391,1.24047,1.24443,0.00962587
1.26219,1.2636,1.2676,0.00971434
1.28554,1.28695,1.291,0.00981614
1.30906,1.31042,1.31448,0.00985297
1.33233,1.3338,1.33776,0.00965824
1.35541,1.35682,1.36077,0.00961999
1.3784,1.37976,1.38368,0.00954461
1.4013,1.40265,1.40662,0.00964227
1.42445,1.42583,1.42984,0.00974318
1.4477,1.44909,1.45306,0.009688
1.4709,1.47229,1.47623,0.00962148
1.49386,1.49524,1.49919,0.00962259
1.51683,1.51816,1.52213,0.00960498
1.53985,1.54122,1.5452,0.00964514
1.56291,1.56427,1.56825,0.0096262
1.58651,1.58791,1.59188,0.0101531
1.60946,1.61086,1.61482,0.00956392
1.63241,1.63383,1.63779,0.00960801
1.65533,1.65673,1.66065,0.00949782
1.67823,1.6796,1.68355,0.00958217
1.70132,1.70274,1.70676,0.00974076
1.72455,1.72595,1.72996,0.0096807
1.74766,1.74906,1.753,0.00958595
1.77057,1.77197,1.77591,0.00957915
1.79365,1.795,1.799,0.00975033
1.81675,1.81807,1.82205,0.00962194
1.83983,1.84124,1.84525,0.00972262
1.86307,1.86443,1.86843,0.00967135
1.88628,1.88769,1.89171,0.0097482
1.9096,1.911,1.91501,0.00975323
1.93279,1.93421,1.93819,0.00964367
1.95602,1.95746,1.96147,0.00977052
1.97934,1.98075,1.98477,0.00971035
2.00264,2.00404,2.00806,0.00974221
2.0298,2.03131,2.03531,0.00974728
2.0524,2.05381,2.05774,0.00901811
2.07472,2.07609,2.08008,0.00896632
2.09764,2.09897,2.10294,0.00898742
2.12008,2.12149,2.12545,0.00906172
2.14257,2.14394,2.14796,0.00904981
2.16538,2.1668,2.1708,0.0092171
2.18764,2.18903,2.19299,0.00874533
2.2121,2.21349,2.21742,0.00889738
