Scheduling End,95827386465
Makespan,96009310896
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
-69.8072,-69.8071,-69.8069,1.2441e-05
0.0138297,0.161763,0.167516,0.0137611
0.18628,0.186775,0.189894,0.00997676
0.206499,0.207365,0.20954,0.00949485
0.223373,0.224241,0.226251,0.00965369
0.240002,0.240846,0.242938,0.00956668
0.256872,0.257793,0.260081,0.00960388
0.277873,0.27874,0.281139,0.0130672
0.298559,0.299611,0.302282,0.0124865
0.325154,0.326251,0.329251,0.0124869
0.347886,0.349062,0.352497,0.0125792
0.371938,0.37321,0.376895,0.0124898
0.396654,0.397936,0.401597,0.0124004
0.421378,0.422647,0.426645,0.0124384
0.447044,0.448361,0.45234,0.0125104
0.472869,0.474186,0.478247,0.0125799
0.501601,0.502896,0.506896,0.0153859
0.528571,0.529976,0.533955,0.0137176
0.555609,0.556923,0.560897,0.0136884
0.582456,0.583832,0.587818,0.0135946
0.60929,0.610592,0.614564,0.0135213
0.636146,0.637492,0.641469,0.0136906
0.663252,0.664596,0.668584,0.0136516
0.690164,0.691548,0.695518,0.0136052
0.717099,0.718444,0.722416,0.0136485
0.744057,0.745444,0.749411,0.0136665
0.77164,0.772939,0.776941,0.014249
0.798597,0.799934,0.803918,0.0136674
0.827085,0.828368,0.832357,0.0135131
0.85401,0.855324,0.859285,0.0136599
0.879948,0.881268,0.885292,0.0126947
0.905653,0.906997,0.910986,0.0123221
0.931403,0.932746,0.936732,0.0124514
0.957088,0.958458,0.962423,0.0123945
0.982779,0.984122,0.98812,0.0123724
1.00851,1.00994,1.01388,0.0124007
1.03422,1.0356,1.03954,0.0124011
1.05981,1.06119,1.06513,0.0123179
1.08539,1.08667,1.09064,0.0123434
1.11069,1.11198,1.11593,0.0120569
1.13613,1.13747,1.14138,0.0122704
1.16151,1.1628,1.16678,0.0122269
1.18708,1.18844,1.19244,0.0123107
1.21297,1.21435,1.21839,0.0125062
1.23883,1.24018,1.24419,0.0124152
1.26384,1.26517,1.26969,0.011616
1.28748,1.28885,1.29288,0.0097676
1.31135,1.31265,1.3166,0.0095979
1.33416,1.3355,1.33952,0.00961939
1.35732,1.35861,1.36262,0.00975381
1.38024,1.38162,1.3856,0.00959183
1.4031,1.40441,1.40834,0.00949378
1.42581,1.42712,1.4311,0.00959555
1.44873,1.45003,1.45401,0.00962845
1.47191,1.47325,1.47733,0.00987619
1.49543,1.49677,1.50084,0.00982639
1.51861,1.51997,1.52393,0.00961696
1.54151,1.54283,1.54678,0.00957367
1.56437,1.56571,1.56967,0.0095982
1.5874,1.58869,1.5927,0.00974227
1.61042,1.61175,1.61577,0.00963943
1.63674,1.63809,1.64207,0.0129163
1.65906,1.6604,1.66435,0.00934382
1.68124,1.68254,1.68649,0.00921795
1.70342,1.70476,1.70874,0.00928492
1.72562,1.72693,1.7309,0.00921895
1.74793,1.7493,1.75334,0.00936332
1.77531,1.77665,1.78064,0.0142346
1.79847,1.79986,1.80381,0.0101306
1.84101,1.8423,1.84628,0.00960905
1.86714,1.86842,1.8724,0.00967329
1.89412,1.8954,1.89941,0.00976013
1.92293,1.92423,1.92818,0.00966666
1.94871,1.95003,1.95405,0.00973875
1.97398,1.97525,1.97921,0.00965798
2.00187,2.0032,2.00723,0.00976042
2.02927,2.03056,2.0346,0.00977105
2.05606,2.05745,2.06141,0.00964128
2.07909,2.08041,2.08441,0.00969767
2.10224,2.10356,2.10761,0.00979993
2.12553,2.12687,2.13091,0.00979482
2.1489,2.1503,2.15431,0.00985639
2.17203,2.17339,2.17737,0.00964871
2.19498,2.19636,2.20031,0.00959009
2.21794,2.21929,2.2233,0.00969013
2.24102,2.24241,2.24639,0.00968258
2.27129,2.27266,2.27732,0.0151352
2.29523,2.2966,2.30061,0.00975543
2.31901,2.32032,2.32432,0.00972958
2.34205,2.34339,2.34739,0.0096762
2.36514,2.36644,2.36966,0.00960936
2.38482,2.38577,2.3887,0.00931458
2.40259,2.4035,2.4065,0.00930612
2.42151,2.42244,2.42545,0.00933604
2.44071,2.44167,2.44463,0.00928864
2.45974,2.46067,2.46419,0.00923743
2.47903,2.47996,2.4829,0.00922532
2.49857,2.49951,2.50252,0.0097663
2.51753,2.51844,2.52144,0.00911881
2.53598,2.53691,2.53992,0.00870081
2.55445,2.55537,2.55834,0.00855796
2.57269,2.57365,2.57656,0.00844833
2.59095,2.59187,2.59488,0.0085989
2.60947,2.61038,2.61339,0.00866027
2.62793,2.62887,2.63185,0.00861124
2.64638,2.64731,2.65029,0.00859323
2.66475,2.66569,2.66865,0.00856045
2.68309,2.68402,2.68699,0.00858494
2.70157,2.70248,2.70548,0.0086642
2.72623,2.72695,2.73023,0.0148343
2.74502,2.74599,2.74901,0.00877324
2.76476,2.76569,2.76942,0.00869624
2.78402,2.78496,2.78796,0.00866156
2.80252,2.80344,2.80643,0.00862784
2.8207,2.82165,2.82462,0.00860877
2.83916,2.84008,2.84306,0.00864226
2.85724,2.85815,2.86113,0.00862755
2.87559,2.87652,2.87953,0.00870989
2.89401,2.89494,2.89795,0.00861222
2.91243,2.91339,2.91635,0.00856597
2.93086,2.93179,2.93478,0.00861938
2.94815,2.94884,2.95123,0.00858409
2.96464,2.96532,2.96785,0.00874636
2.98125,2.98198,2.98463,0.00849135
2.99837,2.99912,3.00219,0.00857388
3.01696,3.01778,3.02048,0.00867955
3.03496,3.03577,3.03865,0.00867845
3.05324,3.05403,3.05686,0.00863553
3.07136,3.07213,3.07495,0.0085938
3.08942,3.09021,3.09294,0.00858748
3.10747,3.10833,3.11113,0.00862768
3.12525,3.12607,3.12891,0.00868795
3.14371,3.14452,3.14745,0.00871004
3.16187,3.16265,3.16547,0.00861343
3.18008,3.18085,3.1837,0.00861861
3.19836,3.1991,3.20191,0.00861953
3.21622,3.21699,3.21977,0.00871314
3.23458,3.23544,3.23816,0.00867293
3.25282,3.2536,3.25629,0.00864663
3.27704,3.27796,3.28118,0.0148939
3.29606,3.29681,3.29953,0.00872733
3.31333,3.31415,3.31685,0.00820045
3.33047,3.33132,3.3342,0.00803211
3.34823,3.34907,3.35171,0.00841427
3.36546,3.36616,3.36874,0.00815475
3.38203,3.38289,3.38602,0.00805256
3.40086,3.40163,3.40432,0.00856704
3.41758,3.41841,3.42149,0.00806332
3.43584,3.43668,3.43966,0.00832641
3.45351,3.45435,3.45727,0.00823443
3.47154,3.47232,3.47528,0.00840486
3.48977,3.49067,3.49373,0.00854075
3.5084,3.50912,3.51188,0.00875994
3.52558,3.52642,3.52932,0.00834243
3.54316,3.54393,3.54661,0.00830388
3.56045,3.56129,3.56427,0.00828979
3.5793,3.58013,3.58278,0.00875172
3.59694,3.59774,3.60045,0.00851994
3.61473,3.61558,3.61862,0.0084519
3.63286,3.63364,3.63638,0.0085584
3.65103,3.65183,3.65451,0.00865887
3.66823,3.66902,3.67181,0.00824572
3.68573,3.68652,3.68917,0.00834551
3.70277,3.7036,3.70639,0.00812059
3.72064,3.72143,3.72424,0.00855905
3.73794,3.73871,3.74159,0.00839846
3.75529,3.75613,3.7591,0.00834579
3.77427,3.77512,3.77788,0.00928356
3.79206,3.79287,3.79562,0.00855456
3.80998,3.81079,3.81371,0.00836488
3.82799,3.82878,3.8315,0.00847603
