Scheduling End,78681954525
Makespan,152014246178
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
-64.8286,-64.8285,-64.7793,0.160389
-57.4672,0.116274,0.952136,0.471582
-50.1793,3.4062,3.90055,0.725958
-43.2187,6.27849,6.79789,0.614714
-35.9878,9.07119,9.80451,0.832586
-28.8673,12.0873,12.6292,0.93158
-21.7957,15.2408,15.7433,0.987828
-14.1167,18.148,18.6979,1.57094
-7.04241,21.1889,21.7266,1.65021
-0.000683543,23.5481,24.2479,1.69616
3.40613,27.0586,27.8171,1.77963
6.27848,30.2113,31.0702,1.80244
9.07113,33.2924,33.8159,1.73064
12.0873,35.9397,36.4737,1.69381
15.2407,39.137,39.9957,2.0665
18.148,42.7826,43.3196,1.85974
21.1888,46.0871,46.9304,1.9668
23.5481,49.6146,50.4909,1.27762
27.0586,53.2486,53.7818,2.14393
30.2113,56.3143,56.8934,1.77732
33.2923,59.0603,59.8307,1.58082
35.9397,62.6489,63.5136,1.50822
39.1369,66.2206,67.1225,2.0423
42.7825,69.8377,70.4165,2.108
46.087,72.9503,73.5501,2.14401
49.6146,76.2387,76.8013,1.98468
53.2486,79.4247,80.0032,2.10518

