Scheduling End,2741233516669
Makespan,2741233552923
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
0.23382,1.50943,1.94283,1.2756
2.72806,4.00945,4.44984,1.28137
5.23249,6.51006,6.94907,1.27755
7.69618,8.9216,9.36178,1.22542
10.1111,11.294,11.7382,1.18289
12.5,13.6874,14.1342,1.18745
14.8897,16.0348,16.4865,1.1451
17.2428,18.3925,18.8463,1.14971
19.6072,20.7708,21.2265,1.16353
21.9861,23.0927,23.5547,1.10659
24.3097,25.4085,25.867,1.09877
26.6104,27.7651,28.2269,1.15465
29.0096,30.1097,30.5762,1.10009
31.3371,32.591,33.0596,1.25386
33.8299,35.1525,35.6377,1.32253
36.4023,37.5588,38.036,1.15648
38.8038,39.9864,40.4649,1.18259
41.2305,42.4224,42.9045,1.19194
43.6658,44.8662,45.3528,1.20037
46.1031,47.3341,47.8228,1.23102
48.5946,49.8099,50.3031,1.21532
51.0654,52.2673,52.7581,1.20197
53.542,54.74,55.2389,1.19803
56.0306,57.2652,57.7671,1.23459
58.5442,59.7334,60.2413,1.18916
61.0348,62.187,62.694,1.15213
63.4697,64.7078,65.2152,1.23804
65.9924,67.2171,67.7279,1.2247
68.5079,69.7447,70.2604,1.23672
71.0397,72.2537,72.7722,1.21392
73.5546,74.7653,75.2885,1.21063
76.055,77.2518,77.7759,1.19687
78.5589,79.8765,80.4056,1.31756
81.1898,82.5469,83.0774,1.35715
83.8761,85.2549,85.787,1.37876
86.5747,87.899,88.4351,1.32434
89.2297,90.6232,91.1628,1.39352
91.9604,93.3646,93.9065,1.40415
94.7056,96.0384,96.5835,1.3328
97.3849,98.7107,99.2582,1.32578
100.057,101.431,101.984,1.37396
102.79,104.14,104.694,1.3499
105.501,106.845,107.404,1.34388
108.213,109.558,110.118,1.34502
110.929,112.245,112.81,1.31601
113.641,114.954,115.524,1.31321
116.346,117.616,118.184,1.27027
119.003,120.267,120.84,1.26388
121.663,122.906,123.483,1.24291
124.304,125.664,126.246,1.35965
127.069,128.49,129.074,1.42169
129.899,131.305,131.894,1.40572
132.723,134.144,134.733,1.42083
135.572,136.969,137.567,1.39716
138.415,139.823,140.42,1.40826
141.263,142.667,143.288,1.40393
144.153,145.577,146.18,1.42381
147.03,148.413,149.018,1.38321
149.863,151.268,151.877,1.4049
152.716,154.14,154.752,1.42454
155.595,157.015,157.63,1.4203
158.474,159.832,160.456,1.35779
161.289,162.659,163.279,1.36953
164.126,165.514,166.142,1.38789
