	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
Sec,Throughput,Graph Vertices,Graph Edges
0,230182,1000001,0
1,79318,1004904,0
2,72846,1051172,0
3,64594,1062467,0
4,62343,1076705,0
5,62805,1124547,0
6,61182,1127818,0
7,57983,1127964,0
8,56714,1150223,0
9,56547,1155450,0
10,51134,1155450,0
11,49055,1176970,0
12,45338,1184600,0
13,46641,1185781,0
14,44175,1185781,0
15,42989,1211638,0
16,41828,1216654,0
17,41199,1216654,0
18,37988,1234762,0
19,38958,1246424,0
20,36699,1250560,0
21,33847,1250560,0
22,34475,1250560,0
23,31832,1250560,0
24,33073,1250560,0
25,31846,1250560,0
26,31859,1250560,0
27,31792,1250560,0
28,30342,1250560,0
29,30720,1250560,0
30,29919,1250560,0
31,29547,1250560,0
32,28988,1250560,0
33,27956,1250560,0
34,28620,1250560,0
35,27704,1250560,0
36,27919,1250560,0
37,27416,1250560,0
38,28055,1250560,0
39,26985,1250560,0
40,26497,1250560,0
41,26641,1250560,0
42,26054,1250560,0
43,25432,1250560,0
44,22187,1250560,0
45,3186,1250560,0
46,3167,1250560,0
47,3052,1250560,0
48,3242,1250560,0
49,3118,1250560,0
50,3159,1250560,0
51,3137,1250560,0
52,3140,1250560,0
53,3121,1250560,0
54,3204,1250560,0
55,3147,1250560,0
56,3131,1250560,0
57,3198,1250560,0
58,3195,1250560,0
59,3248,1250560,0
60,3198,1250560,0
61,3228,1250560,0
62,3161,1250560,0
63,3095,1250560,0
64,3201,1250560,0
65,3262,1250560,0
66,3225,1250560,0
67,3180,1250560,0
68,3192,1250560,0
69,3182,1250560,0
70,3176,1250560,0
71,3235,1250560,0
72,3132,1250560,0
73,3167,1250560,0
74,3158,1250560,0
75,3232,1250560,0
76,3254,1250560,0
77,3236,1250560,0
78,3255,1250560,0
79,3233,1250560,0
80,3173,1250560,0
81,3214,1250560,0
82,3243,1250560,0
83,3198,1250560,0
84,3237,1250560,0
85,3118,1250560,0
86,3250,1250560,0
87,3218,1250560,0
88,3164,1250560,0
89,3186,1250560,0
90,3121,1250560,0
91,3301,1250560,0
92,3258,1250560,0
93,3118,1250560,0
94,3197,1250560,0
95,3156,1250560,0
96,3194,1250560,0
97,3170,1250560,0
98,3216,1250560,0
99,3241,1250560,0
100,3185,1250560,0
101,3146,1250560,0
102,3188,1250560,0
103,3140,1250560,0
104,3219,1250560,0
105,3258,1250560,0
106,3245,1250560,0
107,3187,1250560,0
108,3185,1250560,0
109,3251,1250560,0
110,3255,1250560,0
111,3205,1250560,0
112,3217,1250560,0
113,3293,1250560,0
114,3195,1250560,0
115,3204,1250560,0
116,3180,1250560,0
117,3231,1250560,0
118,3171,1250560,0
119,3167,1250560,0
120,3220,1250560,0
121,3266,1250560,0
122,3165,1250560,0
123,3214,1250560,0
124,3116,1250560,0
125,3101,1250560,0
126,3213,1250560,0
127,3102,1250560,0
128,3169,1250560,0
129,3183,1250560,0
130,3173,1250560,0
131,3200,1250560,0
132,3191,1250560,0
133,3244,1250560,0
134,3145,1250560,0
135,3174,1250560,0
136,3175,1250560,0
137,3122,1250560,0
138,3200,1250560,0
139,3152,1250560,0
140,3185,1250560,0
141,3194,1250560,0
142,3134,1250560,0
143,3102,1250560,0
144,3183,1250560,0
145,3219,1250560,0
146,3238,1250560,0
147,3245,1250560,0
148,3243,1250560,0
149,3267,1250560,0
150,3195,1250560,0
151,3203,1250560,0
152,3211,1250560,0
153,3222,1250560,0
154,3347,1250560,0
155,3162,1250560,0
156,3239,1250560,0
157,3248,1250560,0
158,3228,1250560,0
159,3220,1250560,0
160,3208,1250560,0
161,3218,1250560,0
162,3229,1250560,0
163,3240,1250560,0
164,3168,1250560,0
165,3132,1250560,0
166,3136,1250560,0
167,3121,1250560,0
168,3141,1250560,0
169,3111,1250560,0
170,3264,1250560,0
171,3218,1250560,0
172,3149,1250560,0
173,3225,1250560,0
174,3131,1250560,0
175,3161,1250560,0
176,3069,1250560,0
177,3181,1250560,0
178,3182,1250560,0
179,3263,1250560,0
180,3217,1250560,0
181,3190,1250560,0
182,3170,1250560,0
183,3122,1250560,0
184,3218,1250560,0
185,3109,1250560,0
186,3186,1250560,0
187,3214,1250560,0
188,3223,1250560,0
189,3291,1250560,0
190,3330,1250560,0
191,3218,1250560,0
192,2754,1250560,0
193,3203,1250560,0
194,3223,1250560,0
195,3210,1250560,0
196,3168,1250560,0
197,3240,1250560,0
198,3150,1250560,0
199,3260,1250560,0
200,3223,1250560,0
201,3179,1250560,0
202,3182,1250560,0
203,3146,1250560,0
204,3200,1250560,0
205,3159,1250560,0
206,3210,1250560,0
207,3169,1250560,0
208,3279,1250560,0
209,3306,1250560,0
210,3167,1250560,0
211,3083,1250560,0
212,3175,1250560,0
213,3176,1250560,0
214,3146,1250560,0
215,3233,1250560,0
216,3063,1250560,0
217,3178,1250560,0
218,3207,1250560,0
219,3126,1250560,0
220,3170,1250560,0
221,3213,1250560,0
222,3226,1250560,0
223,3158,1250560,0
224,3136,1250560,0
225,3255,1250560,0
226,3178,1250560,0
227,3223,1250560,0
228,3234,1250560,0
229,3216,1250560,0
230,3153,1250560,0
231,3180,1250560,0
232,3109,1250560,0
233,3175,1250560,0
234,3142,1250560,0
235,3190,1250560,0
236,3122,1250560,0
237,3030,1250560,0
238,3134,1250560,0
239,3192,1250560,0
240,3130,1250560,0
241,3216,1250560,0
242,3092,1250560,0
243,3168,1250560,0
244,3106,1250560,0
245,3107,1250560,0
246,3176,1250560,0
247,3110,1250560,0
248,3212,1250560,0
249,3204,1250560,0
250,3155,1250560,0
251,3174,1250560,0
252,3158,1250560,0
253,3208,1250560,0
254,3269,1250560,0
255,3197,1250560,0
256,3201,1250560,0
257,3188,1250560,0
258,3188,1250560,0
259,3181,1250560,0
260,3123,1250560,0
261,3191,1250560,0
262,3154,1250560,0
263,3206,1250560,0
264,3271,1250560,0
265,3221,1250560,0
266,3100,1250560,0
267,3111,1250560,0
268,3111,1250560,0
269,3147,1250560,0
270,3140,1250560,0
271,3127,1250560,0
272,3148,1250560,0
273,3124,1250560,0
274,3139,1250560,0
275,3077,1250560,0
276,3072,1250560,0
277,3136,1250560,0
278,3171,1250560,0
279,3090,1250560,0
280,3155,1250560,0
281,3218,1250560,0
282,3100,1250560,0
283,3155,1250560,0
284,3067,1250560,0
285,3213,1250560,0
286,3160,1250560,0
287,3158,1250560,0
288,3112,1250560,0
289,3025,1250560,0
290,3077,1250560,0
291,3125,1250560,0
292,3104,1250560,0
293,3153,1250560,0
294,3150,1250560,0
295,3140,1250560,0
296,3183,1250560,0
297,3158,1250560,0
298,3207,1250560,0
299,3149,1250560,0
300,3165,1250560,0
301,3111,1250560,0
302,3155,1250560,0
303,3196,1250560,0
304,3165,1250560,0
305,3112,1250560,0
306,3157,1250560,0
307,3233,1250560,0
308,3087,1250560,0
309,3120,1250560,0
310,3191,1250560,0
311,3112,1250560,0
312,3111,1250560,0
313,3200,1250560,0
314,3214,1250560,0
315,3140,1250560,0
316,3202,1250560,0
317,3253,1250560,0
318,3156,1250560,0
319,3218,1250560,0
320,3247,1250560,0
321,3177,1250560,0
322,3260,1250560,0
323,3216,1250560,0
324,3126,1250560,0
325,3239,1250560,0
326,3187,1250560,0
327,3199,1250560,0
328,3138,1250560,0
329,3172,1250560,0
330,3191,1250560,0
331,3214,1250560,0
332,3090,1250560,0
333,3083,1250560,0
334,3082,1250560,0
335,3121,1250560,0
336,3055,1250560,0
337,3100,1250560,0
338,3149,1250560,0
339,3115,1250560,0
340,3114,1250560,0
341,3231,1250560,0
342,3170,1250560,0
343,3127,1250560,0
344,3188,1250560,0
345,3102,1250560,0
346,3152,1250560,0
347,3026,1250560,0
348,3164,1250560,0
349,3068,1250560,0
350,3126,1250560,0
351,3026,1250560,0
352,3122,1250560,0
353,3104,1250560,0
354,3140,1250560,0
355,3176,1250560,0
356,3106,1250560,0
357,3138,1250560,0
358,3039,1250560,0
359,3212,1250560,0
360,3183,1250560,0
361,3150,1250560,0
362,3154,1250560,0
363,3195,1250560,0
364,3143,1250560,0
365,3148,1250560,0
366,3057,1250560,0
367,3182,1250560,0
368,3220,1250560,0
369,3251,1250560,0
370,3292,1250560,0
371,3119,1250560,0
372,3146,1250560,0
373,3138,1250560,0
374,3172,1250560,0
375,3158,1250560,0
376,3108,1250560,0
377,3242,1250560,0
378,3178,1250560,0
379,3178,1250560,0
380,3177,1250560,0
381,3144,1250560,0
382,3249,1250560,0
383,3188,1250560,0
384,3184,1250560,0
385,3199,1250560,0
386,3158,1250560,0
387,3200,1250560,0
388,3187,1250560,0
389,3109,1250560,0
390,3047,1250560,0
391,3128,1250560,0
392,3052,1250560,0
393,3095,1250560,0
394,3120,1250560,0
395,3128,1250560,0
396,3177,1250560,0
397,3150,1250560,0
398,3166,1250560,0
399,3097,1250560,0
400,3058,1250560,0
401,3012,1250560,0
402,2988,1250560,0
403,3008,1250560,0
404,3042,1250560,0
405,3022,1250560,0
406,3006,1250560,0
407,3090,1250560,0
408,3085,1250560,0
409,3048,1250560,0
410,3058,1250560,0
411,2939,1250560,0
412,3032,1250560,0
413,2952,1250560,0
414,2998,1250560,0
415,3086,1250560,0
416,3039,1250560,0
417,2982,1250560,0
418,3016,1250560,0
419,2937,1250560,0
420,3045,1250560,0
421,3006,1250560,0
422,2988,1250560,0
423,3011,1250560,0
424,2946,1250560,0
425,3001,1250560,0
426,2961,1250560,0
427,3041,1250560,0
428,3017,1250560,0
429,3039,1250560,0
430,3040,1250560,0
431,2988,1250560,0
432,3039,1250560,0
433,3017,1250560,0
434,3080,1250560,0
435,3122,1250560,0
436,3032,1250560,0
437,3082,1250560,0
438,3018,1250560,0
439,3001,1250560,0
440,3012,1250560,0
441,2974,1250560,0
442,2956,1250560,0
443,2971,1250560,0
444,3022,1250560,0
445,3060,1250560,0
446,3058,1250560,0
447,3015,1250560,0
448,3047,1250560,0
449,3054,1250560,0
450,3031,1250560,0
451,2999,1250560,0
452,3009,1250560,0
453,3025,1250560,0
454,3081,1250560,0
455,3012,1250560,0
456,3015,1250560,0
457,3028,1250560,0
458,3000,1250560,0
459,3039,1250560,0
460,3031,1250560,0
461,3050,1250560,0
462,3046,1250560,0
463,2985,1250560,0
464,3090,1250560,0
465,3019,1250560,0
466,2937,1250560,0
467,2995,1250560,0
468,3018,1250560,0
469,2970,1250560,0
470,3041,1250560,0
471,2987,1250560,0
472,3055,1250560,0
473,3032,1250560,0
474,3051,1250560,0
475,2978,1250560,0
476,2998,1250560,0
477,3051,1250560,0
478,3037,1250560,0
479,3035,1250560,0
480,3024,1250560,0
