Scheduling End,10433897236
Makespan,11001229451
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
-69.9785,-69.9784,-69.9782,1.2411e-05
0.0229141,0.169918,0.174189,0.0228246
0.199714,0.200473,0.203558,0.0192152
0.222764,0.223709,0.226847,0.0135298
0.247025,0.248121,0.251516,0.0139608
0.272527,0.273935,0.277868,0.0153433
0.299144,0.300457,0.304735,0.0152917
0.32709,0.328633,0.333021,0.0143824
0.356378,0.357911,0.362488,0.0149696
0.38533,0.387213,0.391269,0.0140481
0.414984,0.416255,0.421198,0.0145712
0.446515,0.448488,0.455058,0.0164416
0.48371,0.485055,0.489837,0.0178508
0.51827,0.520585,0.527052,0.0171398
0.554195,0.555737,0.560494,0.0181051
0.587752,0.589368,0.594494,0.0181127
0.619706,0.621381,0.6265,0.0154307
0.651422,0.653096,0.658198,0.0151353
0.6822,0.683772,0.688834,0.0142022
0.712888,0.714484,0.719574,0.0143307
0.743667,0.745223,0.750282,0.0143497
0.77415,0.77572,0.780727,0.0141937
0.804685,0.806256,0.811333,0.0143225
0.835531,0.837091,0.842317,0.0144773
0.866182,0.867817,0.872926,0.0140365
0.897287,0.898899,0.90404,0.0145853
0.929323,0.930926,0.936027,0.0147014
0.960191,0.961774,0.966901,0.0143701
0.991301,0.992907,0.998003,0.01467
1.02185,1.02346,1.02849,0.0140998
1.05249,1.05409,1.05912,0.0143586
1.0833,1.08488,1.08994,0.0145468
1.11418,1.11578,1.12091,0.0145052
1.1458,1.14739,1.1525,0.0150996
1.17654,1.17813,1.18322,0.0142864
1.20735,1.20893,1.21405,0.0143536
1.2382,1.23978,1.24488,0.0143447
1.26886,1.27046,1.27551,0.0142264
1.29945,1.30103,1.30612,0.0142589
1.33019,1.33176,1.33685,0.0142943
1.36078,1.36237,1.36741,0.0141577
1.38998,1.39161,1.3966,0.012901
1.41956,1.42103,1.42605,0.0133576
1.44959,1.45107,1.45611,0.0134318
1.4784,1.47984,1.48487,0.012685
1.50829,1.50976,1.51483,0.0137041
1.5378,1.53935,1.54441,0.0133114
1.5682,1.56975,1.57483,0.0141069
1.59859,1.60018,1.60522,0.014092
1.62915,1.63076,1.63582,0.0142705
1.6605,1.66208,1.66712,0.0149243
1.6914,1.69298,1.69809,0.0145864
1.72229,1.72386,1.72894,0.014496
1.75285,1.75445,1.75948,0.0141608
1.7833,1.78488,1.78989,0.0141522
1.81379,1.81538,1.82047,0.0142457
1.84482,1.84638,1.85149,0.0146368
1.8757,1.87728,1.88235,0.0144436
1.90635,1.90864,1.91362,0.0143101
1.9402,1.94194,1.94707,0.0162746
1.97169,1.97347,1.97855,0.0146082
2.00289,2.00464,2.00971,0.0142932
2.03405,2.03585,2.04088,0.0143739
2.06521,2.06704,2.07206,0.0143554
2.0964,2.09814,2.1032,0.0144221
2.12756,2.12932,2.1344,0.0144146
2.15903,2.16085,2.16592,0.0145333
2.19062,2.19242,2.19752,0.0146263
2.22233,2.22412,2.22919,0.0146327
2.25368,2.25553,2.26056,0.0143886
2.28536,2.28714,2.29219,0.0147337
2.31705,2.31887,2.32394,0.0147273
2.34909,2.35091,2.35598,0.0150401
2.37983,2.38164,2.38674,0.0136588
2.41096,2.41276,2.41782,0.0140785
2.44118,2.44298,2.44804,0.0132673
2.47166,2.4734,2.47846,0.0135674
2.5022,2.50396,2.50904,0.0136021
2.53237,2.53416,2.53924,0.0132841
2.56271,2.56445,2.56949,0.0133435
2.59283,2.59459,2.59964,0.013311
2.62335,2.62443,2.62734,0.013602
2.64668,2.64841,2.65348,0.0132761
2.67674,2.67855,2.68359,0.0131681
2.70685,2.70858,2.71361,0.013238
2.73699,2.73873,2.74375,0.0132865
2.76694,2.76868,2.77379,0.0132151
2.79752,2.79926,2.80434,0.0135439
2.82781,2.8296,2.83466,0.0133526
2.85784,2.85964,2.86467,0.013127
2.88895,2.89068,2.89573,0.0142543
2.92008,2.92191,2.92695,0.0142396
2.95059,2.95233,2.95741,0.0134782
2.981,2.98277,2.98782,0.0133357
3.01145,3.01321,3.0183,0.0134335
3.04206,3.04383,3.04895,0.0134992
3.07261,3.07438,3.07939,0.013425
3.10272,3.10456,3.10957,0.0132484
3.13306,3.13484,3.13987,0.0134079
3.17757,3.17978,3.18583,0.0275593
3.20918,3.21108,3.21611,0.0132273
3.24012,3.24189,3.24698,0.0138419
3.27085,3.27263,3.2777,0.0137211
3.30111,3.30289,3.30793,0.0133569
3.33158,3.33334,3.33841,0.0135827
3.36224,3.36396,3.36902,0.0136383
3.39268,3.39451,3.39958,0.0135249
3.42403,3.42576,3.43085,0.013582
3.45446,3.45622,3.46127,0.0134759
3.48488,3.48664,3.4917,0.0134369
3.51612,3.51791,3.52126,0.0141554
3.54068,3.54237,3.5475,0.0135479
3.57004,3.57221,3.57828,0.0132383
3.6036,3.60532,3.61094,0.0132806
3.63497,3.63701,3.64335,0.0132449
3.66793,3.66952,3.67537,0.0131575
3.70059,3.70247,3.70852,0.0134314
3.73272,3.7344,3.73995,0.0133117
3.76305,3.76459,3.76994,0.0132344
3.79767,3.7995,3.80509,0.0166773
3.83054,3.83242,3.83806,0.0145462
3.86371,3.8656,3.87099,0.0141401
3.89663,3.89831,3.90403,0.0145158
3.93133,3.93319,3.9396,0.0157465
3.96747,3.96943,3.97578,0.0158836
4.00359,4.00541,4.01176,0.0157694
4.03973,4.0416,4.0482,0.0162479
4.07686,4.07894,4.08533,0.0163158
4.11186,4.11381,4.11957,0.0142913
4.14477,4.14666,4.15239,0.0129365
4.17702,4.1789,4.1848,0.0128382
4.2098,4.21188,4.21772,0.012923
4.24258,4.24453,4.25035,0.0128403
4.27556,4.27701,4.28295,0.0129117
4.30829,4.31058,4.31673,0.0128436
4.34259,4.34438,4.35068,0.0127538
4.37588,4.3773,4.38208,0.0128524
4.40596,4.40808,4.41311,0.0127794
4.43606,4.43769,4.44283,0.0128287
4.46613,4.46768,4.47287,0.0129162
4.49619,4.49779,4.50335,0.0128628
4.52741,4.52917,4.53459,0.0128442
4.55849,4.56057,4.56594,0.0129092
4.58964,4.59138,4.5984,0.0128557
4.62209,4.62383,4.62915,0.0127651
4.65286,4.65492,4.6599,0.0127614
4.68534,4.68743,4.69396,0.0128667
4.71938,4.72105,4.72624,0.0128254
4.7493,4.75098,4.75645,0.0129569
4.78087,4.78295,4.78904,0.0127838
4.81287,4.81469,4.81996,0.0127907
4.84437,4.84603,4.85139,0.012941
4.87575,4.87744,4.88288,0.0128758
4.90729,4.90873,4.91353,0.0133845
4.9366,4.9382,4.94338,0.0128505
4.96647,4.96795,4.97331,0.0128602
4.99677,4.99859,5.00354,0.0128648
5.02675,5.02835,5.03337,0.0128737
5.05679,5.05843,5.06304,0.0127015
5.08618,5.08765,5.09317,0.0128111
5.11745,5.11941,5.12487,0.0128334
5.14815,5.15011,5.15612,0.0128465
5.17962,5.18113,5.18659,0.0128784
5.21028,5.21193,5.21693,0.0128703
5.23985,5.24117,5.24717,0.0127944
5.27227,5.27388,5.27856,0.012871
5.30152,5.30318,5.30871,0.0127066
5.33342,5.33507,5.34058,0.0129028
5.36445,5.36622,5.37154,0.0127856
5.3954,5.39727,5.40281,0.012803
5.42668,5.4282,5.43319,0.0128327
5.45667,5.45813,5.4631,0.0129553
5.4865,5.48814,5.49307,0.0128783
5.51616,5.51765,5.52286,0.0128596
5.54643,5.54822,5.55386,0.0128641
5.61901,5.62131,5.62762,0.0539098
5.65184,5.65417,5.65991,0.0117036
5.68202,5.68389,5.68993,0.0106836
5.71264,5.71431,5.72026,0.0106479
5.74316,5.74499,5.75044,0.01053
5.7729,5.77488,5.78033,0.0102129
5.80201,5.80368,5.80907,0.0102933
5.8308,5.83224,5.83741,0.0104376
5.8585,5.86003,5.86534,0.0102417
5.88586,5.88781,5.89308,0.010481
5.91658,5.91837,5.92364,0.0131392
5.947,5.94885,5.95389,0.0128813
5.97756,5.97907,5.98422,0.0128215
6.0075,6.00944,6.01493,0.0127655
6.03928,6.04125,6.04678,0.0128502
6.07143,6.07319,6.07874,0.0129539
6.10292,6.10471,6.11023,0.012863
6.13447,6.13661,6.14222,0.0129359
6.16638,6.16813,6.1736,0.0128245
6.19791,6.19966,6.20495,0.0128948
6.22913,6.23086,6.23621,0.012883
6.26036,6.26209,6.26762,0.0128872
6.29193,6.29402,6.29969,0.0127951
6.32329,6.32493,6.33026,0.0128129
6.35431,6.35606,6.36126,0.0127695
6.38595,6.38809,6.39441,0.0126536
6.42058,6.42189,6.42746,0.0127688
6.45134,6.45296,6.45861,0.0127354
6.48245,6.48431,6.48942,0.0127245
6.51227,6.51403,6.51945,0.0127568
6.54337,6.54515,6.55051,0.0128136
6.57475,6.57654,6.58192,0.0127156
6.60576,6.60749,6.61313,0.0128162
6.63683,6.63857,6.64395,0.0127913
6.66797,6.6698,6.67529,0.0128431
6.6987,6.70062,6.706,0.0126867
6.72769,6.72915,6.73385,0.0126598
6.75604,6.75751,6.76221,0.0126372
6.78453,6.78609,6.79117,0.0127434
6.8142,6.81584,6.82099,0.0127729
6.84416,6.84571,6.85083,0.012816
6.87402,6.87561,6.88071,0.0127033
6.90378,6.90535,6.91066,0.0127827
6.93283,6.93431,6.93901,0.0126654
6.96123,6.96282,6.96787,0.0126582
6.99062,6.99208,6.99692,0.0125549
7.01977,7.02129,7.02635,0.0126409
7.04927,7.05083,7.05591,0.0126501
7.07887,7.08041,7.0855,0.0126735
7.10851,7.1101,7.11521,0.0126987
7.13822,7.13976,7.14486,0.0126569
7.16793,7.16948,7.17458,0.012756
7.19739,7.19898,7.20399,0.0125197
7.22674,7.22829,7.2333,0.0125999
7.25617,7.25768,7.26276,0.0126484
7.28517,7.28671,7.29286,0.0127556
7.31764,7.31943,7.32537,0.0123618
7.34939,7.35114,7.35775,0.0116253
